Career Interest,Frequency,ISCO-08,ISCO Title,Mapping Confidence,Mapping Basis,Mapping Source URL,ILO GenAI Exposure Category,Exposure Ordinal (Analytical Recode),ILO Exposure Source URL
Technical Writing,2,2642,Journalists,Medium,Technical writer mapped to journalists in a national ISCO/ESCO implementation,https://bis.ams.or.at/bis/beruf/685-Technical%20editor%20%28TechnischeR%20RedakteurIn%29?language=en,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Web Development,2,2513,Web and multimedia developers,High,Direct web development match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 4,5,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
UX/UI Designer,2,2166,Graphic and multimedia designers,Medium,Digital interface design aligned to graphic and multimedia design,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Accountant,2,2411,Accountants,High,Direct occupation-title match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Data Science,1,2511,Systems analysts,Medium,ESCO-aligned modern title; data scientist grouped under systems analysts,https://www.wikidata.org/wiki/Q29169143,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
AI Consulting,1,2511,Systems analysts,Medium,ICT/AI advisory work aligned to systems analysis,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Mobile App Development,1,2514,Applications programmers,High,Mobile application development aligned to applications programmers,https://mynodes.io/occupations/mobile-application-developer,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
AI Engineering,1,2512,Software developers,Medium,AI engineering treated as software development absent a dedicated ISCO-08 unit group,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Business Operation Manager,1,1219,Business services and administration managers not elsewhere classified,High,Business operations management aligned to business services/administration managers n.e.c.,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Product Management,1,1223,Research and development managers,Medium,Product management broad-matched to research and development managers,https://www.wikidata.org/wiki/Q16262598,Minimal Exposure,1,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Operations Manager,1,1219,Business services and administration managers not elsewhere classified,High,Operations management aligned to business services/administration managers n.e.c.,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Content Creation,1,2641,Authors and related writers,Low,Generic content creation mapped to authors/writers; medium may vary by content medium,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Product Designer,1,2163,Product and garment designers,High,Direct product design match,https://esco.ec.europa.eu/en/classification/occupation_main,Minimal Exposure,1,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Academic Researcher,1,2310,University and higher education teachers,Medium,Academic research context proxied by university/higher education occupation,https://esco.ec.europa.eu/en/classification/occupation_main,Minimal Exposure,1,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Financial Analyst,1,2413,Financial analysts,High,Direct occupation-title match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 4,5,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Product Manager,1,1223,Research and development managers,Medium,Product manager broad-matched to research and development managers,https://www.wikidata.org/wiki/Q16262598,Minimal Exposure,1,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Graphic Designer,1,2166,Graphic and multimedia designers,High,Direct graphic designer match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Social Media Manager,1,2431,Advertising and marketing professionals,Medium,Marketing/advertising professional pathway; title may map differently by managerial scope,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Customer Service Professional,1,4225,Enquiry clerks,High,Customer service representative aligned to enquiry clerks,https://www.wikidata.org/wiki/Q5196476,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
IT Business Analyst,1,2511,Systems analysts,High,ICT business analysis aligned to systems analysts,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Small Business Owner,1,1120,Managing directors and chief executives,Low,Owner-manager proxy; actual ISCO code depends business activity and size,https://esco.ec.europa.eu/en/classification/occupation_main,Minimal Exposure,1,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
